Tanggal,ID Pelanggan,Keluhan,Kontak,Segmentasi_Wilayah,Produk_Terkait,Status_Keluhan,Agen,Waktu_Penyelesaian,Saluran,Waktu_Respon,Persentase_Penyelesaian,ID_Feedback,Tanggal_Feedback,Rating_CSAT,NPS_Score,Komentar
2023/01/01 00:00:00,7217,Harga tidak sesuai promosi,customer@example.com,Padang,skincare,Proses,Agen 3,9,Media Sosial,1,0.881815324,1,10/8/2024,3,3,positif
2023/01/01 00:00:00,3807,Kurir tidak ramah,customer@example.com,Surabaya,makeup,Proses,Agen 2,6,Media Sosial,2,0.969165001,2,9/29/2024,4,7,positif
2023/01/01 00:00:00,1175,Harga tidak sesuai promosi,customer@example.com,Bandung,bodycare,Selesai,Agen 2,7,Chatbot,2,0.868526909,3,10/16/2024,4,8,positif
2023/01/01 00:00:00,8669,Harga tidak sesuai promosi,customer@example.com,Medan,haircare,Proses,Agen 2,2,Media Sosial,1,0.873798764,4,10/17/2024,4,7,positif
2023/01/01 00:00:00,1157,Pengemasan buruk,customer@example.com,Balikpapan,alat makeup,Proses,Agen 2,2,WhatsApp,3,0.945982189,5,10/18/2024,3,4,positif
2023/01/01 00:00:00,4879,Harga tidak sesuai promosi,customer@example.com,Surabaya,skincare,Selesai,Agen 3,8,Media Sosial,3,0.987347016,6,9/30/2024,2,2,negatif
2023/01/01 00:00:00,6839,Salah kirim barang,customer@example.com,Surabaya,makeup,Belum Ditangani,Agen 1,2,WhatsApp,2,0.943556411,7,10/2/2024,3,3,positif
2023/01/01 00:00:00,7676,Pembayaran bermasalah,customer@example.com,Padang,bodycare,Selesai,Agen 2,6,Email,2,0.852910497,8,10/5/2024,5,9,positif
2023/01/01 00:00:00,3024,Layanan pelanggan buruk,customer@example.com,Semarang,haircare,Proses,Agen 4,4,Media Sosial,3,0.983238858,9,10/14/2024,2,1,negatif
2023/01/01 00:00:00,5296,Pengemasan buruk,customer@example.com,Jakarta,alat makeup,Belum Ditangani,Agen 5,10,Media Sosial,2,0.81647219,10,10/21/2024,5,9,positif
2023/01/02 00:00:00,4894,Harga tidak sesuai promosi,customer@example.com,Medan,skincare,Selesai,Agen 4,4,Media Sosial,1,0.921933785,11,10/18/2024,3,4,positif
2023/01/02 00:00:00,3111,Produk rusak,customer@example.com,Bandung,makeup,Belum Ditangani,Agen 4,6,Chatbot,1,0.883860221,12,10/18/2024,2,2,negatif
2023/01/02 00:00:00,7282,Pengemasan buruk,customer@example.com,Medan,bodycare,Selesai,Agen 2,10,Email,2,0.920143014,13,10/2/2024,4,7,positif
2023/01/02 00:00:00,9629,Pengiriman lambat,customer@example.com,Gorontalo,haircare,Selesai,Agen 3,7,WhatsApp,1,0.816432997,14,10/22/2024,1,1,negatif
